TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency
2026-01-10 07:28:35,1768030115590,www.mone.hair/api/auth/providers,GET,nxtPnextauth=providers,200,h9cpk-1768030115590-a1abb8cefe9a,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,230,iad1,359,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCX5YBBH1M064PP6G1006Z,2pmtmJiTfjWC,1
2026-01-10 07:27:37,1768030057220,www.mone.hair/api/auth/session,GET,nxtPnextauth=session,200,g825t-1768030057220-d16bc94e46d8,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,4,iad1,316,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCVCKD5RW0JW4YFBP4P7F1,2pmtmJiTfjWC,2
2026-01-10 07:27:36,1768030056989,www.mone.hair/api/auth/session,GET,nxtPnextauth=session,200,g825t-1768030056989-81e87551dd30,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,8,iad1,393,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCVCKSVVANEQ89JX3ND504,dsZcUpWnoM3R,1
2026-01-10 07:27:36,1768030056980,www.mone.hair/api/holidays,GET,year=2026&month=1,200,qs28f-1768030056980-ef7831d6a0f5,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/holidays,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,868,iad1,317,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCVCKD5RW0JW4YFBP4P7F1,2pmtmJiTfjWC,2
2026-01-10 07:27:36,1768030056840,www.mone.hair/admin/login,GET,error=CredentialsSignin,304,dfmtl-1768030056840-de55531f7263,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,HIT,middleware,/_middleware,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,5,hnd1,257,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCVCCD9FAFYXA2GEA6E7Z5,byvZwv0ohbx4,1
2026-01-10 07:27:36,1768030056840,www.mone.hair/admin/login,GET,error=CredentialsSignin,304,dfmtl-1768030056840-de55531f7263,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,HIT,static,/admin/login,www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,23,hnd1,,,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,,,
2026-01-10 07:27:36,1768030056569,www.mone.hair/api/auth/session,GET,nxtPnextauth=session,200,8655l-1768030056569-3f5d75d3e946,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,menshair-mone-id5o-or4dqfpv4-sogas-projects-8b606a52.vercel.app,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,7,iad1,317,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCVC67XAAS413WVF2H4CD4,2pmtmJiTfjWC,1
2026-01-10 07:27:36,1768030056364,www.mone.hair/api/auth/callback/credentials,POST,nxtPnextauth=callback%2Fcredentials,200,bjwhx-1768030056040-57ef315146cd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",error,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,www.mone.hair,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,,,,,[31m[auth][error][0m CredentialsSignin: Read more at https://errors.authjs.dev#credentialssignin,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,,,
2026-01-10 07:27:36,1768030056364,www.mone.hair/api/auth/callback/credentials,POST,nxtPnextauth=callback%2Fcredentials,200,bjwhx-1768030056040-57ef315146cd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",error,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,www.mone.hair,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,,,,,"at rY (/var/task/web/.next/server/chunks/web_2fa16c9a._.js:404:41595)
    at process.processTicksAndRejections (node:internal/process/task_queues:105:5)
    at async r6 (/var/task/web/.next/server/chunks/web_2fa16c9a._.js:404:51219)
    at async r7 (/var/task/web/.next/server/chunks/web_2fa16c9a._.js:404:55786)
    at async rM.do (/var/task/web/node_modules/next/dist/compiled/next-server/app-route-turbo.runtime.prod.js:5:20152)
    at async rM.handle (/var/task/web/node_modules/next/dist/compiled/next-server/app-route-turbo.runtime.prod.js:5:24898)
    at async p (/var/task/web/.next/server/chunks/[root-of-the-server]__ddb37065._.js:1:5856)
    at async rM.handleResponse (/var/task/web/node_modules/next/dist/compiled/next-server/app-route-turbo.runtime.prod.js:1:101142)
    at async d (/var/task/web/.next/server/chunks/[root-of-the-server]__ddb37065._.js:1:6894)
    at async j (/var/task/web/.next/server/chunks/[root-of-the-server]__ddb37065._.js:1:7972)",prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,,,
2026-01-10 07:27:36,1768030056040,www.mone.hair/api/auth/callback/credentials,POST,nxtPnextauth=callback%2Fcredentials,200,bjwhx-1768030056040-57ef315146cd,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Mobile Safari/537.36",,production,master,MISS,serverless,/api/auth/[...nextauth],www.mone.hair,www.mone.hair,dpl_6DgZT3MBAM7qPrzFX9PFt1bCFPVB,227,iad1,316,2048,,prj_BaFlzJmImEk0Ls2bjITX7MdXPMrC,,,01KEKCVBP1DNYQFWB52PCZPQ3C,2pmtmJiTfjWC,1
